127.0.0.1 - - [21/Jan/2020:22:58:52 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [21/Jan/2020:22:58:54 +0530] "GET /CuMerchandise/ HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [21/Jan/2020:23:00:10 +0530] "GET /CuMerchandise/ui-files/home2.html HTTP/1.1" 200 1710
0:0:0:0:0:0:0:1 - - [21/Jan/2020:23:00:10 +0530] "GET /resource/search_ic.png HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [21/Jan/2020:23:00:10 +0530] "GET /style-files/home-style2.css HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [21/Jan/2020:23:00:10 +0530] "GET /js-files/home-controller.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [21/Jan/2020:23:00:10 +0530] "GET /resource/email_ic.png HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [21/Jan/2020:23:00:10 +0530] "GET /resource/call_ic.png HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [21/Jan/2020:23:19:27 +0530] "GET /CuMerchandise/ui-files/description.jsp HTTP/1.1" 200 4398
0:0:0:0:0:0:0:1 - - [21/Jan/2020:23:19:27 +0530] "GET /CuMerchandise/style-files/description.css HTTP/1.1" 200 3928
0:0:0:0:0:0:0:1 - - [21/Jan/2020:23:19:27 +0530] "GET /CuMerchandise/resource/search_ic.png HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [21/Jan/2020:23:19:27 +0530] "GET /CuMerchandise/resource/email_ic.png HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [21/Jan/2020:23:19:27 +0530] "GET /CuMerchandise/resource/product_resources/01.jpg HTTP/1.1" 200 37506
0:0:0:0:0:0:0:1 - - [21/Jan/2020:23:19:27 +0530] "GET /CuMerchandise/resource/call_ic.png HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [21/Jan/2020:23:19:28 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [21/Jan/2020:23:40:55 +0530] "GET /CuMerchandise/ui-files/description.jsp HTTP/1.1" 200 4333
0:0:0:0:0:0:0:1 - - [21/Jan/2020:23:40:55 +0530] "GET /CuMerchandise/resource/search_ic.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2020:23:40:55 +0530] "GET /CuMerchandise/resource/email_ic.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2020:23:40:55 +0530] "GET /CuMerchandise/style-files/description.css HTTP/1.1" 200 3902
0:0:0:0:0:0:0:1 - - [21/Jan/2020:23:40:55 +0530] "GET /CuMerchandise/resource/call_ic.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2020:23:40:55 +0530] "GET /CuMerchandise/resource/product_resources/01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2020:23:43:44 +0530] "GET /CuMerchandise/ui-files/description.jsp HTTP/1.1" 200 3998
