127.0.0.1 - - [26/Jan/2020:12:41:17 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:41:27 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:42:06 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5973
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:42:06 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:43:06 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:43:06 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:45:04 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:45:04 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:45:43 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:45:43 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:47:13 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5946
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:47:13 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:48:20 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:48:20 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:48:20 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:48:29 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:48:29 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:53:03 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:53:03 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:53:31 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:53:31 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:53:31 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:53:46 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:53:46 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:53:46 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:54:15 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:54:15 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:54:15 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:54:28 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:54:28 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:54:29 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:54:40 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:54:40 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:54:41 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:54:45 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:54:45 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:54:45 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:55:00 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:55:00 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:55:01 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:55:03 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:55:03 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:55:03 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:55:03 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:55:04 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:55:04 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:55:04 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:55:04 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:55:05 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:55:16 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:55:16 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:56:11 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:56:11 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:56:12 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:56:22 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:56:22 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:56:23 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:56:26 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:56:26 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:56:26 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:56:26 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:56:26 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:56:27 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:56:50 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:56:50 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:56:51 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:57:13 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:57:13 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 806
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:57:14 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:57:44 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:57:45 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:57:45 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:57:55 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:57:55 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:57:56 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:58:07 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:58:07 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 808
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:58:07 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:58:29 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:58:29 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:58:30 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:58:41 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:58:41 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:58:42 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:58:44 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:58:44 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:58:44 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:58:50 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:58:50 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:58:51 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:59:21 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:59:21 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:59:22 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:59:31 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:59:31 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:59:31 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:59:39 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:59:39 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:59:39 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:59:48 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:59:48 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [26/Jan/2020:12:59:48 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:01:26 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:01:26 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:01:26 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:02:02 +0530] "GET /CuMerchandise/ui-files/home2.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:02:02 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:02:03 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:02:05 +0530] "GET /CuMerchandise/ui-files/home2.jsp?offset=1 HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:02:05 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:02:19 +0530] "GET /CuMerchandise/ui-files/home2.jsp?offset=1 HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:02:19 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:02:20 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:02:38 +0530] "GET /CuMerchandise/ui-files/home2.jsp?offset=1 HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:02:38 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:02:39 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:03:02 +0530] "GET /CuMerchandise/ui-files/home2.jsp?offset=1 HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:03:02 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 941
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:03:03 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:03:13 +0530] "GET /CuMerchandise/ui-files/home2.jsp?offset=1 HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:03:13 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:03:14 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:03:49 +0530] "GET /CuMerchandise/ui-files/home2.jsp?offset=1 HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:03:49 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 996
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:03:50 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:03:52 +0530] "GET /CuMerchandise/ui-files/home2.jsp?offset=1 HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:03:52 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:04:03 +0530] "GET /CuMerchandise/ui-files/home2.jsp?offset=1 HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:04:03 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 997
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:04:04 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:04:07 +0530] "GET /CuMerchandise/ui-files/home2.jsp?offset=1 HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:04:07 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:05:25 +0530] "GET /CuMerchandise/ui-files/home2.jsp?offset=1 HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:05:25 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:05:26 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:05:41 +0530] "GET /CuMerchandise/ui-files/home2.jsp?offset=1 HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:05:41 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:05:42 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:05:56 +0530] "GET /CuMerchandise/ui-files/home2.jsp?offset=1 HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:05:56 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:05:57 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:07:41 +0530] "GET /CuMerchandise/ui-files/home2.jsp?offset=1 HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:07:41 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 1033
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:07:42 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:08:06 +0530] "GET /CuMerchandise/ui-files/home2.jsp?offset=1 HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:08:06 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 200 1040
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:08:07 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:47:21 +0530] "GET /CuMerchandise/ui-files/home2.jsp?offset=1 HTTP/1.1" 200 5936
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:47:21 +0530] "GET /CuMerchandise/style-files/home-body-style2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:47:21 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:47:22 +0530] "GET /CuMerchandise/ui-files/home2.jsp?offset=1 HTTP/1.1" 200 5936
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:47:23 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:47:23 +0530] "GET /CuMerchandise/ui-files/home2.jsp?offset=1 HTTP/1.1" 200 5936
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:47:23 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:48:40 +0530] "GET /CuMerchandise/ui-files/home2.jsp?offset=1 HTTP/1.1" 200 5936
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:48:41 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:49:20 +0530] "GET /CuMerchandise/ui-files/home2.jsp?offset=1 HTTP/1.1" 200 5955
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:49:20 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:49:22 +0530] "GET /CuMerchandise/ui-files/home2.jsp?offset=1 HTTP/1.1" 200 5955
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:49:23 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:49:23 +0530] "GET /CuMerchandise/ui-files/home2.jsp?offset=1 HTTP/1.1" 200 5955
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:49:23 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:49:23 +0530] "GET /CuMerchandise/ui-files/home2.jsp?offset=1 HTTP/1.1" 200 5955
0:0:0:0:0:0:0:1 - - [26/Jan/2020:13:49:24 +0530] "GET /CuMerchandise/resource/icons/tab_logo.png HTTP/1.1" 200 2131
